City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Arlit,NE,18.7369,7.3853,90.3,14,9,5.5,clear sky
296,Richards Bay,ZA,-28.783,32.0377,61.84,78,49,6.62,light rain
297,Songjianghe,CN,42.1859,127.479,67.26,87,65,3.49,broken clouds
298,Ardmore,US,34.1743,-97.1436,92.71,43,0,11.5,clear sky
299,Tagusao,PH,9.1924,117.8141,82.56,76,100,3.4,moderate rain
300,Nortelandia,BR,-14.4547,-56.8028,73.8,43,8,4.88,clear sky
301,Leh,IN,34.1667,77.5833,55.81,71,89,5.66,overcast clouds
302,Bilibino,RU,68.0546,166.4372,60.39,41,3,2.19,clear sky
303,Kortkeros,RU,61.8106,51.5806,64.4,98,100,3.0,overcast clouds
304,Hofn,IS,64.2539,-15.2082,49.08,76,1,1.83,clear sky
305,Gorontalo,ID,0.5412,123.0595,75.27,98,100,2.89,light rain
306,Mangan,IN,27.5167,88.5333,80.24,69,5,1.16,clear sky
307,Zyryanka,RU,65.75,150.85,71.76,53,16,1.41,few clouds
308,Dhidhdhoo,MV,6.8833,73.1,82.15,79,100,16.93,moderate rain
309,Pervomayskiy,RU,53.2485,40.2871,53.46,97,24,10.11,few clouds
310,Grand Forks,US,47.9417,-97.4337,69.73,83,100,6.91,light thunderstorm
311,Port Hedland,AU,-20.3167,118.5667,69.85,37,18,6.91,few clouds
312,Cabo San Lucas,MX,22.8909,-109.9124,93.51,25,20,14.97,few clouds
313,Paramonga,PE,-10.6667,-77.8333,60.89,84,80,13.11,broken clouds
314,Klaksvik,FO,62.2266,-6.589,49.12,81,95,12.68,overcast clouds
315,Faanui,PF,-16.4833,-151.75,77.4,65,15,25.64,few clouds
316,Chicama,PE,-7.8447,-79.1469,59.54,81,49,8.28,scattered clouds
317,Yuanping,CN,38.7153,112.7575,80.08,64,14,1.32,few clouds
318,Solnechnyy,RU,50.7214,136.6319,71.38,80,85,5.93,overcast clouds
319,Grindavik,IS,63.8424,-22.4338,48.15,87,75,1.14,broken clouds
320,Mayo,US,38.8876,-76.5119,82.4,73,100,4.61,overcast clouds
321,Havelock,US,34.8791,-76.9013,82.38,93,20,5.75,few clouds
322,Port Moresby,PG,-9.4431,147.1797,80.02,65,75,23.02,haze
323,Yulara,AU,-25.2406,130.9889,53.82,28,6,9.62,clear sky
324,Ilebo,CD,-4.3167,20.5833,73.83,43,51,1.5,broken clouds
325,Barra Dos Coqueiros,BR,-10.9089,-37.0386,75.22,78,40,8.05,scattered clouds
326,Geraldton,AU,-28.7667,114.6,59.41,88,18,10.36,few clouds
327,Seoul,KR,37.5683,126.9778,81.79,69,40,2.3,scattered clouds
328,Makhachkala,RU,42.9764,47.5024,77.02,53,99,12.86,overcast clouds
329,Circleville,US,39.6006,-82.946,77.14,78,40,0.0,scattered clouds
330,Dawei,MM,14.0833,98.2,76.75,95,100,2.93,overcast clouds
331,Shaunavon,CA,49.6501,-108.4181,82.18,32,0,1.39,clear sky
332,Champerico,GT,14.3,-91.9167,80.74,79,100,2.89,overcast clouds
333,Oktyabrskoye,RU,43.0645,44.7417,64.54,88,100,2.24,overcast clouds
334,Prince Rupert,CA,54.3161,-130.3201,56.89,95,100,25.32,light rain
335,Asau,RO,46.4333,26.4,56.32,68,0,6.08,clear sky
336,Cam Ranh,VN,11.9214,109.1591,85.96,62,20,1.14,few clouds
337,Namie,JP,37.4833,141.0,75.97,85,100,1.01,overcast clouds
338,Itoman,JP,26.1247,127.6694,88.57,82,75,9.22,broken clouds
339,Tautira,PF,-17.7333,-149.15,75.97,62,40,23.22,scattered clouds
