City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Uberaba,BR,2022-07-10 21:18:30,-19.7483,-47.9319,75.78,38,0,4.61
254,Tornio,FI,2022-07-10 21:18:30,65.8481,24.1466,57.22,92,98,3.71
255,Bairiki,KI,2022-07-10 21:18:30,1.3292,172.9752,82.4,89,40,10.36
256,Hit,IQ,2022-07-10 21:18:31,33.6416,42.8251,89.92,18,0,13.18
257,Tamandare,BR,2022-07-10 21:18:31,-8.7597,-35.1047,75.22,80,3,9.82
258,Rafraf,TN,2022-07-10 21:18:31,37.1904,10.1837,75.51,76,0,8.48
259,Mikhaylovskoye,RU,2022-07-10 21:18:32,51.8239,79.7172,65.86,74,21,6.76
260,Abha,SA,2022-07-10 21:18:32,18.2164,42.5053,67.82,64,0,10.36
261,Belyy Yar,RU,2022-07-10 21:18:32,53.6039,91.3903,64.29,72,0,4.47
262,Sorland,NO,2022-07-10 21:18:33,67.667,12.6934,53.46,86,42,8.5
263,Yumen,CN,2022-07-10 21:18:33,40.2833,97.2,71.87,48,77,5.21
264,Omsukchan,RU,2022-07-10 21:18:33,62.5333,155.8,71.42,57,22,9.4
265,Dubai,AE,2022-07-10 21:17:37,25.2582,55.3047,93.45,55,0,14.97
266,Marrakesh,MA,2022-07-10 21:17:04,31.6315,-8.0083,98.67,19,20,6.91
267,Bathsheba,BB,2022-07-10 21:18:34,13.2167,-59.5167,84.81,84,20,18.41
268,Haines Junction,CA,2022-07-10 21:18:34,60.7522,-137.5108,67.95,42,99,2.3
269,Yambio,SS,2022-07-10 21:18:34,4.5721,28.3955,68.04,85,96,2.98
270,Muzhi,RU,2022-07-10 21:18:35,65.3667,64.6667,56.1,71,8,4.14
271,Ambilobe,MG,2022-07-10 21:18:35,-13.2,49.05,64.9,74,6,4.34
272,Acajutla,SV,2022-07-10 21:18:35,13.5928,-89.8275,84.99,67,53,5.99
273,Cayenne,GF,2022-07-10 21:18:36,4.9333,-52.3333,83.08,1,47,0.0
274,Loandjili,CG,2022-07-10 21:18:36,-4.7561,11.8578,70.39,83,67,5.1
275,Zheleznogorsk-Ilimskiy,RU,2022-07-10 21:18:36,56.5768,104.1217,53.8,84,100,3.33
276,Petropavlovsk-Kamchatskiy,RU,2022-07-10 21:18:37,53.0452,158.6483,73.99,78,40,4.47
277,Formosa,AR,2022-07-10 21:17:40,-26.1775,-58.1781,82.38,57,0,11.5
278,Mpongwe,ZM,2022-07-10 21:18:37,-13.5091,28.155,53.85,73,0,4.85
279,Bundaberg,AU,2022-07-10 21:18:37,-24.85,152.35,48.22,84,1,3.0
280,Upernavik,GL,2022-07-10 21:18:09,72.7868,-56.1549,38.91,84,54,4.25
281,Bengkulu,ID,2022-07-10 21:18:38,-3.8004,102.2655,74.1,89,99,4.21
282,Catuday,PH,2022-07-10 21:18:38,16.2923,119.8062,81.09,80,13,4.72
283,Garden City,US,2022-07-10 21:18:39,42.3256,-83.331,86.65,33,20,3.44
284,Katsuura,JP,2022-07-10 21:18:39,35.1333,140.3,75.43,92,7,2.8
285,Baturaja,ID,2022-07-10 21:18:39,-4.1333,104.1667,70.25,96,81,2.91
286,Chirongui,YT,2022-07-10 21:18:40,-12.9319,45.1483,69.73,65,0,12.82
287,East London,ZA,2022-07-10 21:15:14,-33.0153,27.9116,62.71,64,99,7.45
288,Kavieng,PG,2022-07-10 21:18:40,-2.5744,150.7967,81.48,78,58,11.54
289,Sabha,LY,2022-07-10 21:18:40,27.0377,14.4283,90.28,27,0,16.51
