City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
586,Altamira,BR,73.18,overcast clouds,-3.2033,-52.2064,Requinte Hotel
593,Nisia Floresta,BR,77.38,few clouds,-6.0911,-35.2086,Rancho Crepusculo
596,Westport,US,81.75,broken clouds,41.1415,-73.3579,The Westport Inn
598,Porto Santo,PT,70.18,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
599,Gigmoto,PH,86.05,overcast clouds,13.7796,124.39,Cj's Travellers Inn
600,Russell,US,79.75,clear sky,32.3502,-85.1999,Macs
603,Palmer,US,73.0,clear sky,42.1584,-72.3287,Wedgewood Motel
604,Gazanjyk,TM,81.9,clear sky,39.2446,55.5154,Railway motel
606,Iquitos,PE,77.04,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
607,Batagay,RU,76.03,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
608,Guasdualito,VE,78.76,clear sky,7.2424,-70.7324,Hotel Cuibas
609,Coralville,US,80.83,clear sky,41.6764,-91.5805,Heartland Inn
611,Turan,VN,89.58,clear sky,16.0678,108.2208,Grand Mercure Danang
613,Shimoda,JP,75.56,light rain,34.6667,138.95,Shimoda Tokyu Hotel
615,Tura,IN,77.13,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
617,Weihai,CN,76.69,clear sky,37.5017,122.1136,Beihai Travel Resort
619,Ensley,US,79.61,light rain,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
620,Cochrane,CA,83.75,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
621,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
622,Yueyang,CN,88.56,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
623,Panama City,PA,81.45,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
627,Manacapuru,BR,79.11,broken clouds,-3.2997,-60.6206,Novo Hotel
628,Coari,BR,73.44,scattered clouds,-4.085,-63.1414,Dellrey Hotel Center
630,Nongstoin,IN,71.85,overcast clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
632,Lufilufi,WS,82.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
633,Banjar,ID,80.53,few clouds,-8.19,114.9675,The Hamsa Resort
634,Sokolo,ML,83.23,overcast clouds,14.7328,-6.1219,
637,Awjilah,LY,76.35,clear sky,29.1081,21.2869,المنزل
638,Bilgi,IN,72.64,overcast clouds,16.35,75.6167,Kenada Lodge
639,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
640,Nueva Italia De Ruiz,MX,82.49,scattered clouds,19.0167,-102.1,Hotel Fiesta Nueva Italia Inn
641,Sakaiminato,JP,82.38,broken clouds,35.55,133.2333,Italian pasley
642,Tres Lagoas,BR,73.04,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
